Original Index,Values,Ticker,Forward Return,Monday Datetime,Monday First Hour Close,Friday Last Hour Open
50,126.0,HD,-2.3740776387552023,2022-10-17 14:30:00,280.53,273.87
63,125.0,KR,3.006106153123535,2022-10-17 14:30:00,42.58,43.86
49,124.0,GS,6.464427591188154,2022-10-17 14:30:00,304.59,324.28
108,123.0,TSCO,-2.0009955201592886,2022-10-17 14:30:00,200.9,196.88
87,122.0,PNC,1.6751734066221713,2022-10-17 14:30:00,152.82,155.38
58,126.0,ISRG,11.11565739225313,2022-10-24 14:30:00,219.96,244.41
98,125.0,SKX,-3.6599423631124006,2022-10-24 14:30:00,34.7,33.43
57,124.0,INTU,3.689708289207659,2022-10-24 14:30:00,415.48,430.81
48,123.0,GOOG,-4.9104506986813705,2022-10-24 14:30:00,101.62,96.63
5,122.0,AMAT,7.183908045977012,2022-10-24 14:30:00,83.52,89.52
11,126.0,AXP,7.910230657338774,2022-11-07 14:30:00,144.37,155.79
94,125.0,RL,13.52573766961017,2022-11-07 14:30:00,92.86,105.42
110,124.0,TXN,11.13992836853155,2022-11-07 14:30:00,161.94,179.98
50,123.0,HD,12.03912982059612,2022-11-07 14:30:00,283.16,317.25
111,122.0,TROW,30.781204397314916,2022-11-07 14:30:00,102.79,134.43
106,126.0,TMO,-0.7387232772450703,2022-11-14 14:30:00,536.06,532.1
1,125.0,ADBE,-2.1180298772371025,2022-11-14 14:30:00,338.05,330.89
31,124.0,CRWD,-1.9759755490795374,2022-11-14 14:30:00,140.69,137.91
55,123.0,ILMN,-6.928887731179999,2022-11-14 14:30:00,230.34,214.38
29,122.0,CRM,-5.811354492624046,2022-11-14 14:30:00,156.59,147.49
96,126.0,SCHW,1.8193069306930678,2022-11-28 14:30:00,80.8,82.27
53,125.0,IBM,0.6983997830214275,2022-11-28 14:30:00,147.48,148.51
22,124.0,C,-0.5703422053232005,2022-11-28 14:30:00,47.34,47.07
21,123.0,CB,1.8395503321410225,2022-11-28 14:30:00,215.27,219.23
121,122.0,WFC,-3.075291622481433,2022-11-28 14:30:00,47.15,45.7
84,126.0,PGR,-0.7262996941896154,2022-12-05 14:30:00,130.8,129.85
35,125.0,DG,1.312043569748734,2022-12-05 14:30:00,242.37,245.55
107,124.0,TRV,-0.17637626937465747,2022-12-05 14:30:00,187.1,186.77
73,123.0,MMM,1.4868105515587502,2022-12-05 14:30:00,104.25,105.8
3,122.0,ALL,0.007765180928708577,2022-12-05 14:30:00,128.78,128.79
39,126.0,DRI,-1.34665816145723,2022-12-12 14:30:00,141.09,139.19
49,125.0,GS,-3.847866006343565,2022-12-12 14:30:00,359.42,345.59
17,124.0,BIIB,-0.2739148756847776,2022-12-12 14:30:00,284.76,283.98
23,123.0,CHD,0.1249999999999929,2022-12-12 14:30:00,80.0,80.1
8,122.0,AON,-2.7110309785281226,2022-12-12 14:30:00,305.05,296.78
74,126.0,MSFT,-1.4235464514794114,2022-12-19 14:30:00,241.65,238.21
39,125.0,DRI,0.863382427628236,2022-12-19 14:30:00,137.83,139.02
17,124.0,BIIB,-1.2806905823250563,2022-12-19 14:30:00,282.66,279.04
105,123.0,TEAM,-8.606051810463681,2022-12-19 14:30:00,137.81,125.95
57,122.0,INTU,0.7086242192011037,2022-12-19 14:30:00,381.02,383.72
36,126.0,DHR,7.217225643524873,2023-01-09 14:30:00,225.71,242.0
106,125.0,TMO,6.599245172401154,2023-01-09 14:30:00,545.82,581.84
44,124.0,FMC,2.2832847807259204,2023-01-09 14:30:00,127.01,129.91
111,123.0,TROW,4.402682195164986,2023-01-09 14:30:00,113.34,118.33
54,122.0,IFF,4.892385603183213,2023-01-09 14:30:00,110.58,115.99
52,126.0,HUBS,6.428080246359912,2023-01-23 14:30:00,334.47,355.97
87,125.0,PNC,5.826243877287956,2023-01-23 14:30:00,155.16,164.2
35,124.0,DG,2.8928136419001245,2023-01-23 14:30:00,229.88,236.53
11,123.0,AXP,13.86535303776684,2023-01-23 14:30:00,152.25,173.36
41,122.0,ECL,0.3157479279042164,2023-01-23 14:30:00,152.02,152.5
15,126.0,BBY,5.348592782903187,2023-01-30 14:30:00,85.63,90.21
49,125.0,GS,3.5857467268496515,2023-01-30 14:30:00,356.69,369.48
22,124.0,C,-1.746555404618666,2023-01-30 14:30:00,51.53,50.63
57,123.0,INTU,1.3098972676548835,2023-01-30 14:30:00,417.59,423.06
30,122.0,COST,2.1009988680818923,2023-01-30 14:30:00,503.57,514.15
8,126.0,AON,1.852088797901612,2023-02-06 14:30:00,312.62,318.41
107,125.0,TRV,1.8706369982547872,2023-02-06 14:30:00,183.36,186.79
24,124.0,CI,1.437688718089486,2023-02-06 14:30:00,291.44,295.63
49,123.0,GS,0.7245590230664901,2023-02-06 14:30:00,368.5,371.17
9,122.0,APD,1.5768074951387587,2023-02-06 14:30:00,282.85,287.31
55,126.0,ILMN,5.18329938900204,2023-02-13 14:30:00,196.4,206.58
76,125.0,NET,8.347329526368839,2023-02-13 14:30:00,59.54,64.51
41,124.0,ECL,10.4648002174504,2023-02-13 14:30:00,147.16,162.56
68,123.0,MDB,-0.3768962593046184,2023-02-13 14:30:00,212.26,211.46
15,122.0,BBY,0.5337046061028053,2023-02-13 14:30:00,86.19,86.65
5,126.0,AMAT,5.123659250066484,2023-02-27 14:30:00,112.81,118.59
40,125.0,EW,4.683900691067311,2023-02-27 14:30:00,78.14,81.8
1,124.0,ADBE,6.241117221775934,2023-02-27 14:30:00,323.66,343.86
95,123.0,SBUX,2.1284905291935097,2023-02-27 14:30:00,102.42,104.6
13,122.0,BABA,-0.26717132361126006,2023-02-27 14:30:00,89.83,89.59
30,126.0,COST,-2.0358137022726353,2023-03-06 14:30:00,481.38,471.58
57,125.0,INTU,-4.1139856059132365,2023-03-06 14:30:00,411.28,394.36
78,124.0,NOW,-6.559910414333711,2023-03-06 14:30:00,446.5,417.21
35,123.0,DG,-0.12853470437018047,2023-03-06 14:30:00,217.84,217.56
99,122.0,SNOW,-7.10313269975361,2023-03-06 14:30:00,142.05,131.96
72,126.0,MKC,12.746029591421204,2023-03-27 14:30:00,73.67,83.06
51,125.0,HOG,4.867872044506258,2023-03-27 14:30:00,35.95,37.7
119,124.0,WBA,4.596651445966509,2023-03-27 14:30:00,32.85,34.36
33,123.0,CVS,0.8706298462794184,2023-03-27 14:30:00,73.51,74.15
60,122.0,JPM,1.943351691581431,2023-03-27 14:30:00,127.1,129.57
115,126.0,UNH,0.5435315817357655,2023-04-10 14:30:00,509.63,512.4
30,125.0,COST,1.8472219352439194,2023-04-10 14:30:00,483.97,492.91
57,124.0,INTU,0.6624937177319818,2023-04-10 14:30:00,437.74,440.64
103,123.0,SYK,1.9175589614388755,2023-04-10 14:30:00,285.78,291.26
24,122.0,CI,-1.367365542388319,2023-04-10 14:30:00,263.28,259.68
65,126.0,LOW,3.9887723445117422,2023-04-17 14:30:00,203.07,211.17
108,125.0,TSCO,4.14609656095724,2023-04-17 14:30:00,239.02,248.93
110,124.0,TXN,-0.958036864810358,2023-04-17 14:30:00,178.49,176.78
121,123.0,WFC,2.505581741503344,2023-04-17 14:30:00,40.31,41.32
97,122.0,SHOP,3.5858264375132567,2023-04-17 14:30:00,47.13,48.82
82,126.0,PEP,2.307195869635362,2023-04-24 14:30:00,185.94,190.23
63,125.0,KR,1.7712023338195486,2023-04-24 14:30:00,47.99,48.84
23,124.0,CHD,6.27253852038028,2023-04-24 14:30:00,91.51,97.25
95,123.0,SBUX,5.048454083987078,2023-04-24 14:30:00,108.35,113.82
122,122.0,WMT,-1.1045364891518783,2023-04-24 14:30:00,50.7,50.14
91,126.0,REGN,-4.475175979567677,2023-05-01 14:30:00,802.65,766.73
38,125.0,DPZ,0.24727833263754095,2023-05-01 14:30:00,311.39,312.16
106,124.0,TMO,0.23228166438042647,2023-05-01 14:30:00,546.75,548.02
124,123.0,ZBH,-0.7333908541846492,2023-05-01 14:30:00,139.08,138.06
62,122.0,KHC,4.787234042553194,2023-05-01 14:30:00,39.48,41.37
84,126.0,PGR,2.2615762036185134,2023-05-08 14:30:00,130.44,133.39
99,125.0,SNOW,6.187460417986055,2023-05-08 14:30:00,157.9,167.67
30,124.0,COST,1.1472737153553507,2023-05-08 14:30:00,496.83,502.53
68,123.0,MDB,8.93004115226337,2023-05-08 14:30:00,243.0,264.7
24,122.0,CI,-2.3016145654414295,2023-05-08 14:30:00,261.99,255.96
39,126.0,DRI,8.319892473118276,2023-05-15 14:30:00,148.8,161.18
5,125.0,AMAT,8.174970039376829,2023-05-15 14:30:00,116.82,126.37
75,124.0,MU,10.000000000000005,2023-05-15 14:30:00,62.0,68.2
78,123.0,NOW,11.420564021720084,2023-05-15 14:30:00,456.72,508.88
105,122.0,TEAM,6.801524479624745,2023-05-15 14:30:00,136.44,145.72
36,126.0,DHR,1.1899493533952832,2023-05-22 14:30:00,203.37,205.79
80,125.0,OKTA,6.207145434861074,2023-05-22 14:30:00,83.13,88.29
85,124.0,PFE,2.3887079261671973,2023-05-22 14:30:00,36.84,37.72
6,123.0,AMGN,-3.14510364546104,2023-05-22 14:30:00,223.84,216.8
50,122.0,HD,0.641069828358728,2023-05-22 14:30:00,290.14,292.0
112,126.0,TWLO,4.270462633451966,2023-06-12 14:30:00,64.63,67.39
66,125.0,LULU,6.78377925487349,2023-06-12 14:30:00,358.06,382.35
76,124.0,NET,6.487415976238871,2023-06-12 14:30:00,63.97,68.12
8,123.0,AON,5.432672416536709,2023-06-12 14:30:00,314.21,331.28
106,122.0,TMO,3.118451156441664,2023-06-12 14:30:00,520.13,536.35
50,126.0,HD,2.1032253830757703,2023-06-26 14:30:00,304.77,311.18
88,125.0,PPG,6.275462797512688,2023-06-26 14:30:00,139.91,148.69
65,124.0,LOW,3.906895601873115,2023-06-26 14:30:00,217.82,226.33
91,123.0,REGN,-7.09171009369843,2023-06-26 14:30:00,769.49,714.92
69,122.0,MCD,3.474461666493304,2023-06-26 14:30:00,288.39,298.41
67,126.0,MA,-0.3062083747990479,2023-07-03 14:30:00,391.89,390.69
71,125.0,META,1.4877348372141341,2023-07-03 14:30:00,289.03,293.33
57,124.0,INTU,-0.26042241398336097,2023-07-03 14:30:00,453.11,451.93
61,123.0,K,0.17361111111111022,2023-07-03 14:30:00,63.36,63.47
43,122.0,FDX,2.0073657371807876,2023-07-03 14:30:00,247.09,252.05
93,126.0,RNG,15.826034430685601,2023-07-10 14:30:00,33.11,38.35
91,125.0,REGN,2.657070497503191,2023-07-10 14:30:00,698.89,717.46
92,124.0,ROKU,13.886745872550533,2023-07-10 14:30:00,64.81,73.81
11,123.0,AXP,1.7539743063295647,2023-07-10 14:30:00,170.47,173.46
78,122.0,NOW,3.8403197887110267,2023-07-10 14:30:00,560.37,581.89
78,126.0,NOW,-0.3910118498787631,2023-07-17 14:30:00,585.66,583.37
68,125.0,MDB,1.5012345679012307,2023-07-17 14:30:00,405.0,411.08
76,124.0,NET,-1.233480176211438,2023-07-17 14:30:00,68.1,67.26
115,123.0,UNH,5.963513400684644,2023-07-17 14:30:00,479.08,507.65
99,122.0,SNOW,-3.0379331107340364,2023-07-17 14:30:00,182.69,177.14
73,126.0,MMM,6.407035175879396,2023-07-24 14:30:00,87.56,93.17
71,125.0,META,11.6729646169701,2023-07-24 14:30:00,291.1,325.08
74,124.0,MSFT,-1.3504860585598657,2023-07-24 14:30:00,343.58,338.94
38,123.0,DPZ,3.4797637165630584,2023-07-24 14:30:00,387.67,401.16
78,122.0,NOW,-1.7379124299647153,2023-07-24 14:30:00,578.28,568.23
77,126.0,NFLX,0.05328020756116063,2023-07-31 14:30:00,431.68,431.91
24,125.0,CI,-1.8432232424283939,2023-07-31 14:30:00,291.88,286.5
98,124.0,SKX,-1.647655259822554,2023-07-31 14:30:00,55.23,54.32
108,123.0,TSCO,0.129934136834084,2023-07-31 14:30:00,223.19,223.48
58,122.0,ISRG,-4.39869989165765,2023-07-31 14:30:00,323.05,308.84
6,126.0,AMGN,6.101845495295406,2023-08-07 14:30:00,247.63,262.74
48,125.0,GOOG,0.16156331743345742,2023-08-07 14:30:00,129.98,130.19
91,124.0,REGN,4.082925946043808,2023-08-07 14:30:00,773.22,804.79
106,123.0,TMO,-0.8770812482940473,2023-08-07 14:30:00,549.55,544.73
16,122.0,BDX,3.5132158590308555,2023-08-07 14:30:00,272.4,281.97
57,126.0,INTU,-2.4720046475289923,2023-08-14 14:30:00,499.19,486.85
39,125.0,DRI,-1.1138226644139924,2023-08-14 14:30:00,159.81,158.03
77,124.0,NFLX,-4.666839512574529,2023-08-14 14:30:00,424.27,404.47
5,123.0,AMAT,2.7905308464849257,2023-08-14 14:30:00,139.4,143.29
66,122.0,LULU,-0.24637643173538065,2023-08-14 14:30:00,381.53,380.59
54,126.0,IFF,3.589823630404263,2023-08-21 14:30:00,64.07,66.37
58,125.0,ISRG,4.374364191251281,2023-08-21 14:30:00,285.07,297.54
78,124.0,NOW,2.9648762209651434,2023-08-21 14:30:00,549.77,566.07
57,123.0,INTU,6.777364996613377,2023-08-21 14:30:00,487.21,520.23
100,122.0,SPGI,2.1186884558977668,2023-08-21 14:30:00,381.84,389.93
81,126.0,ORCL,3.779094735033919,2023-08-28 14:30:00,116.43,120.83
10,125.0,AVGO,3.2622777058061594,2023-08-28 14:30:00,84.91,87.68
1,124.0,ADBE,6.662735849056599,2023-08-28 14:30:00,525.76,560.79
108,123.0,TSCO,2.3611433883337134,2023-08-28 14:30:00,215.15,220.23
52,122.0,HUBS,8.772582983893098,2023-08-28 14:30:00,510.34,555.11
58,126.0,ISRG,-1.4707353676838502,2023-09-11 14:30:00,299.85,295.44
87,125.0,PNC,7.202779425472418,2023-09-11 14:30:00,118.01,126.51
97,124.0,SHOP,-1.097328244274817,2023-09-11 14:30:00,62.88,62.19
33,123.0,CVS,6.958490566037735,2023-09-11 14:30:00,66.25,70.86
68,122.0,MDB,-6.573114754098361,2023-09-11 14:30:00,381.25,356.19
30,126.0,COST,-0.26794326747883246,2023-09-18 14:30:00,559.82,558.32
59,125.0,JNJ,-0.19862205946249242,2023-09-18 14:30:00,161.11,160.79
21,124.0,CB,1.1077447453133893,2023-09-18 14:30:00,211.24,213.58
3,123.0,ALL,5.140229885057474,2023-09-18 14:30:00,108.75,114.34
1,122.0,ADBE,-2.91878172588834,2023-09-18 14:30:00,527.96,512.55
106,126.0,TMO,0.5519377382465003,2023-09-25 14:30:00,503.68,506.46
91,125.0,REGN,-0.19628274408122767,2023-09-25 14:30:00,825.34,823.72
118,124.0,VRTX,0.3131643969430486,2023-09-25 14:30:00,348.06,349.15
58,123.0,ISRG,1.8801165533509145,2023-09-25 14:30:00,288.28,293.7
30,122.0,COST,1.2728219305962034,2023-09-25 14:30:00,557.03,564.12
120,126.0,WDAY,0.16407275454715653,2023-10-02 14:30:00,213.32,213.67
30,125.0,COST,-1.2161659792171935,2023-10-02 14:30:00,564.89,558.02
115,124.0,UNH,4.049794834182399,2023-10-02 14:30:00,504.47,524.9
106,123.0,TMO,0.13996081097292531,2023-10-02 14:30:00,500.14,500.84
68,122.0,MDB,1.8430113126754057,2023-10-02 14:30:00,345.63,352.0
57,126.0,INTU,0.16945642145694437,2023-10-09 14:30:00,531.11,532.01
105,125.0,TEAM,-4.90698843640021,2023-10-09 14:30:00,198.9,189.14
78,124.0,NOW,-1.0215439856373527,2023-10-09 14:30:00,557.0,551.31
1,123.0,ADBE,4.902428323445802,2023-10-09 14:30:00,524.23,549.93
18,122.0,BLK,-2.5275871192666277,2023-10-09 14:30:00,642.51,626.27
108,126.0,TSCO,-2.609944532488105,2023-10-16 14:30:00,201.92,196.65
