Original Index,Values,Ticker,Forward Return,Monday Datetime,Monday First Hour Close,Friday Last Hour Open
80,51.0,OKTA,3.1185361972951484,2022-12-05 14:30:00,62.85,64.81
79,54.0,NVDA,3.0933967876264106,2022-12-05 14:30:00,16.81,17.33
24,115.0,CI,3.034406351941901,2022-12-05 14:30:00,324.94,334.8
99,53.0,SNOW,2.991603753616037,2022-12-05 14:30:00,141.73,145.97
37,48.0,DOCU,8.183748311136837,2022-12-12 14:30:00,51.81,56.05
93,23.0,RNG,4.687911509086123,2022-12-12 14:30:00,37.97,39.75
71,56.0,META,4.151436031331588,2022-12-12 14:30:00,114.9,119.67
105,11.0,TEAM,3.702400225241092,2022-12-12 14:30:00,142.07,147.33
80,99.0,OKTA,3.0941908084331744,2022-12-12 14:30:00,65.93,67.97
112,46.0,TWLO,2.7253218884120085,2022-12-12 14:30:00,46.6,47.87
35,100.0,DG,2.437314417683931,2022-12-12 14:30:00,242.48,248.39
3,58.0,ALL,2.271130882697258,2022-12-12 14:30:00,128.13,131.04
114,10.0,UAA,2.030456852791889,2022-12-12 14:30:00,9.85,10.05
113,3.0,UA,1.8583042973286894,2022-12-12 14:30:00,8.61,8.77
96,17.0,SCHW,3.6704214656372502,2022-12-19 14:30:00,79.01,81.91
43,9.0,FDX,3.532099343955015,2022-12-19 14:30:00,170.72,176.75
3,72.0,ALL,3.4729082757048357,2022-12-19 14:30:00,131.59,136.16
63,109.0,KR,3.148189790870246,2022-12-19 14:30:00,44.47,45.87
64,94.0,LNC,3.1207133058984917,2022-12-19 14:30:00,29.16,30.07
21,20.0,CB,2.560867330249072,2022-12-19 14:30:00,213.99,219.47
23,69.0,CHD,2.5240534799450156,2022-12-19 14:30:00,80.03,82.05
107,32.0,TRV,2.378764123911989,2022-12-19 14:30:00,184.97,189.37
108,49.0,TSCO,2.351772109970188,2022-12-19 14:30:00,211.33,216.3
98,107.0,SKX,2.2671867381764983,2022-12-19 14:30:00,41.02,41.95
105,8.0,TEAM,17.61146496815287,2023-01-09 14:30:00,125.6,147.72
68,7.0,MDB,11.729938622414176,2023-01-09 14:30:00,175.96,196.6
52,27.0,HUBS,11.38964193923178,2023-01-09 14:30:00,284.03,316.38
92,97.0,ROKU,10.989010989010989,2023-01-09 14:30:00,45.5,50.5
7,9.0,AMZN,10.010099876557065,2023-01-09 14:30:00,89.11,98.03
114,50.0,UAA,8.317580340264657,2023-01-09 14:30:00,10.58,11.46
113,65.0,UA,8.297872340425524,2023-01-09 14:30:00,9.4,10.18
91,113.0,REGN,7.228179011885398,2023-01-09 14:30:00,670.57,719.04
36,126.0,DHR,7.217225643524873,2023-01-09 14:30:00,225.71,242.0
78,44.0,NOW,7.147456535737283,2023-01-09 14:30:00,388.25,416.0
109,55.0,TSLA,29.192188513367434,2023-01-23 14:30:00,138.77,179.28
97,12.0,SHOP,16.76043131739336,2023-01-23 14:30:00,42.66,49.81
76,77.0,NET,13.975489142119976,2023-01-23 14:30:00,46.51,53.01
11,123.0,AXP,13.86535303776684,2023-01-23 14:30:00,152.25,173.36
68,31.0,MDB,11.072957101622375,2023-01-23 14:30:00,200.94,223.19
79,81.0,NVDA,10.81081081081081,2023-01-23 14:30:00,18.5,20.5
112,89.0,TWLO,10.352342898656003,2023-01-23 14:30:00,55.06,60.76
99,63.0,SNOW,10.054142964841352,2023-01-23 14:30:00,145.91,160.58
102,86.0,SQ,9.374195209889264,2023-01-23 14:30:00,77.66,84.94
71,90.0,META,8.366477272727273,2023-01-23 14:30:00,140.8,152.58
71,10.0,META,24.622948641286296,2023-01-30 14:30:00,150.51,187.57
4,85.0,AMD,16.60346695557962,2023-01-30 14:30:00,73.84,86.1
76,41.0,NET,14.55417066155322,2023-01-30 14:30:00,52.15,59.74
43,106.0,FDX,14.093033135089222,2023-01-30 14:30:00,188.32,214.86
92,46.0,ROKU,13.28307305690181,2023-01-30 14:30:00,55.71,63.11
51,84.0,HOG,13.03575394181656,2023-01-30 14:30:00,45.03,50.9
103,115.0,SYK,12.324406064706116,2023-01-30 14:30:00,251.29,282.26
93,43.0,RNG,11.705092475297706,2023-01-30 14:30:00,39.47,44.09
86,66.0,PLTR,11.447368421052644,2023-01-30 14:30:00,7.6,8.47
45,64.0,GM,10.591397849462359,2023-01-30 14:30:00,37.2,41.14
25,113.0,CINF,9.551793702306815,2023-02-06 14:30:00,114.01,124.9
44,114.0,FMC,5.124509568420203,2023-02-06 14:30:00,124.89,131.29
33,67.0,CVS,4.82573726541555,2023-02-06 14:30:00,85.79,89.93
2,63.0,AIG,4.508966695132367,2023-02-06 14:30:00,58.55,61.19
115,25.0,UNH,4.158328242505953,2023-02-06 14:30:00,474.71,494.45
82,82.0,PEP,3.3484109733889547,2023-02-06 14:30:00,170.23,175.93
123,92.0,YUM,3.211334120425028,2023-02-06 14:30:00,127.05,131.13
95,106.0,SBUX,2.802388289676422,2023-02-06 14:30:00,103.84,106.75
20,90.0,BK,2.2713687985654527,2023-02-06 14:30:00,50.19,51.33
122,39.0,WMT,2.046908315565034,2023-02-06 14:30:00,46.9,47.86
92,91.0,ROKU,30.804387568555747,2023-02-13 14:30:00,54.7,71.55
86,115.0,PLTR,21.100917431192663,2023-02-13 14:30:00,7.63,9.24
112,23.0,TWLO,14.262613195342807,2023-02-13 14:30:00,61.84,70.66
52,105.0,HUBS,13.237843521755188,2023-02-13 14:30:00,351.87,398.45
41,124.0,ECL,10.4648002174504,2023-02-13 14:30:00,147.16,162.56
109,68.0,TSLA,9.359035129298984,2023-02-13 14:30:00,189.87,207.64
76,125.0,NET,8.347329526368839,2023-02-13 14:30:00,59.54,64.51
32,100.0,CSCO,6.913217062408067,2023-02-13 14:30:00,47.59,50.88
37,106.0,DOCU,5.5736106597335064,2023-02-13 14:30:00,61.54,64.97
55,126.0,ILMN,5.18329938900204,2023-02-13 14:30:00,196.4,206.58
80,95.0,OKTA,17.99393772389088,2023-02-27 14:30:00,72.58,85.64
112,106.0,TWLO,14.988399071925748,2023-02-27 14:30:00,64.65,74.34
29,66.0,CRM,14.028117359413214,2023-02-27 14:30:00,163.6,186.55
55,111.0,ILMN,10.846202003338894,2023-02-27 14:30:00,191.68,212.47
71,86.0,META,8.167191325638347,2023-02-27 14:30:00,171.54,185.55
10,116.0,AVGO,7.896981067712767,2023-02-27 14:30:00,58.63,63.26
92,119.0,ROKU,7.5757575757575735,2023-02-27 14:30:00,61.38,66.03
37,114.0,DOCU,7.559395248380126,2023-02-27 14:30:00,60.19,64.74
97,110.0,SHOP,7.474546809038982,2023-02-27 14:30:00,40.27,43.28
105,4.0,TEAM,6.551558175911451,2023-02-27 14:30:00,166.22,177.11
56,89.0,INTC,3.6669213139801404,2023-03-06 14:30:00,26.18,27.14
63,115.0,KR,2.928321678321686,2023-03-06 14:30:00,45.76,47.1
28,113.0,CMG,2.202498356344504,2023-03-06 14:30:00,30.42,31.09
4,120.0,AMD,1.8657174420031866,2023-03-06 14:30:00,81.47,82.99
23,91.0,CHD,-0.023781212841850204,2023-03-06 14:30:00,84.1,84.08
35,123.0,DG,-0.12853470437018047,2023-03-06 14:30:00,217.84,217.56
118,111.0,VRTX,-0.7370161179225742,2023-03-06 14:30:00,290.36,288.22
47,54.0,GIS,-0.7696189755235925,2023-03-06 14:30:00,79.26,78.65
82,73.0,PEP,-0.9285961471911323,2023-03-06 14:30:00,173.38,171.77
108,38.0,TSCO,-0.9638241777239996,2023-03-06 14:30:00,231.37,229.14
13,116.0,BABA,18.61868833430063,2023-03-27 14:30:00,86.15,102.19
66,93.0,LULU,15.863319652572304,2023-03-27 14:30:00,314.31,364.17
72,126.0,MKC,12.746029591421204,2023-03-27 14:30:00,73.67,83.06
93,115.0,RNG,11.868131868131861,2023-03-27 14:30:00,27.3,30.54
99,58.0,SNOW,11.729709878810135,2023-03-27 14:30:00,136.15,152.12
56,55.0,INTC,10.517416300304362,2023-03-27 14:30:00,29.57,32.68
105,87.0,TEAM,10.322203455891914,2023-03-27 14:30:00,153.94,169.83
102,113.0,SQ,9.560229445506705,2023-03-27 14:30:00,62.76,68.76
34,81.0,DDOG,9.4722598105548,2023-03-27 14:30:00,66.51,72.81
120,60.0,WDAY,8.413727660920452,2023-03-27 14:30:00,189.69,205.65
76,62.0,NET,11.83226030972681,2023-04-10 14:30:00,57.47,64.27
86,13.0,PLTR,10.083333333333343,2023-04-10 14:30:00,8.04,8.8507
60,2.0,JPM,8.118889323425886,2023-04-10 14:30:00,127.85,138.23
31,85.0,CRWD,7.680698967434461,2023-04-10 14:30:00,125.9,135.57
105,112.0,TEAM,7.6716983597987385,2023-04-10 14:30:00,153.03,164.77
